packet_loss,communication_delay,average_velocity
0.0,0.0,4.598223583960922
0.0,0.025,4.591757286382006
0.0,0.05,4.5446288287702155
0.0,0.1,2.937747182269625
0.0,0.15,0.666237980364545
0.1,0.0,4.586995142893133
0.1,0.025,4.578574714980552
0.1,0.05,4.521855670898996
0.1,0.1,2.891313786213709
0.1,0.15,0.6488899367863389
1.0,0.0,4.261996167415838
1.0,0.025,4.358454949048542
1.0,0.05,4.356881999649562
1.0,0.1,2.899562777891928
1.0,0.15,0.6245261821419942
5.0,0.0,3.2320765911596774
5.0,0.025,3.173106872807594
5.0,0.05,3.26672680884643
5.0,0.1,2.3067163862576643
5.0,0.15,0.584373545282415
10.0,0.0,2.315058189400704
10.0,0.025,2.4874433664262448
10.0,0.05,2.3844191970155553
10.0,0.1,1.7783249917708168
10.0,0.15,0.48890753045058233
